capture_id,cycle_id,url_slot_label,url_slot_ts_et,url_slot_ts_utc,doc_last_modified_utc,provider_publication_ts_raw,provider_publication_ts_et,retrieval_ts_utc,ingestion_ts_utc,poll_interval_at_capture,max_staleness_bound_minutes,vendor_latency_note,source_url,source_provenance_class,payload_hash_sha256,prev_snapshot_capture_id,game_date,game_time_et,matchup,team_raw,team,player_raw,player_id,status,reason
cap_20260807T030718880144,cycle_20260807,6:30 p.m. ET report,,,"Thu, 06 Aug 2026 22:30:04 GMT",08/06/26 06:30 PM,2026-08-06T18:30:00,2026-08-07T03:07:28.908053+00:00,2026-08-07T03:07:29.029201+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_30PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",e16d5a23cae0d7e3af19e8257ba18f9d9b5d8b6d170a3703fa332fe38ae517b8,,2026-08-06,10:00 (ET),TOR@PDX,Portland Fire,Portland Fire,Teja Oblak,1643506,Doubtful,Injury/Illness - Left Knee; Injury
cap_20260807T030718880144,cycle_20260807,6:30 p.m. ET report,,,"Thu, 06 Aug 2026 22:30:04 GMT",08/06/26 06:30 PM,2026-08-06T18:30:00,2026-08-07T03:07:28.908053+00:00,2026-08-07T03:07:29.029208+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_30PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",e16d5a23cae0d7e3af19e8257ba18f9d9b5d8b6d170a3703fa332fe38ae517b8,,2026-08-07,07:30 (ET),ATL@WAS,Atlanta Dream,Atlanta Dream,Te-Hina Paopao,1642804,Out,Injury/Illness - Right Leg; N/A
cap_20260807T030718880144,cycle_20260807,6:30 p.m. ET report,,,"Thu, 06 Aug 2026 22:30:04 GMT",08/06/26 06:30 PM,2026-08-06T18:30:00,2026-08-07T03:07:28.908053+00:00,2026-08-07T03:07:29.029215+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_30PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",e16d5a23cae0d7e3af19e8257ba18f9d9b5d8b6d170a3703fa332fe38ae517b8,,2026-08-07,07:30 (ET),PHX@CON,Connecticut Sun,Connecticut Sun,Raegan Beers,1643441,Out,Concussion Protocol
cap_20260807T030718880144,cycle_20260807,6:30 p.m. ET report,,,"Thu, 06 Aug 2026 22:30:04 GMT",08/06/26 06:30 PM,2026-08-06T18:30:00,2026-08-07T03:07:28.908053+00:00,2026-08-07T03:07:29.029221+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_30PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",e16d5a23cae0d7e3af19e8257ba18f9d9b5d8b6d170a3703fa332fe38ae517b8,,2026-08-07,07:30 (ET),PHX@CON,Connecticut Sun,Connecticut Sun,Brittney Griner,203398,Questionable,Injury/Illness - Left Knee; -
cap_20260807T030718880144,cycle_20260807,6:30 p.m. ET report,,,"Thu, 06 Aug 2026 22:30:04 GMT",08/06/26 06:30 PM,2026-08-06T18:30:00,2026-08-07T03:07:28.908053+00:00,2026-08-07T03:07:29.029228+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_30PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",e16d5a23cae0d7e3af19e8257ba18f9d9b5d8b6d170a3703fa332fe38ae517b8,,2026-08-07,09:30 (ET),GSV@DAL,Dallas Wings,Dallas Wings,Alysha Clark,202252,Questionable,Injury/Illness - Back; n/a
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185887+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Las Vegas Aces,Las Vegas Aces,Dana Evans,1630389,Available,Injury/Illness - N/a; illness
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185929+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Las Vegas Aces,Las Vegas Aces,Cheyenne Parker-Tyus,204323,Out,Concussion Protocol
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185939+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Indiana Fever,Indiana Fever,Aliyah Boston,1641648,Available,-
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185948+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Indiana Fever,Indiana Fever,Caitlin Clark,1642286,Available,-
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185955+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Indiana Fever,Indiana Fever,Damiris Dantas,203024,Out,Injury/Illness - Left Knee; Left Knee
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185963+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Indiana Fever,Indiana Fever,Bree Hall,1642788,Out,Coach's Decision
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185970+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,07:00 (ET),LVA@IND,Indiana Fever,Indiana Fever,Michelle Onyiah,,Out,Coach's Decision
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185977+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,09:00 (ET),LAS@MIN,Los Angeles Sparks,Los Angeles Sparks,Ariel Atkins,1628878,Probable,Injury/Illness - Ribs; Ribs
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185984+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,09:00 (ET),LAS@MIN,Minnesota Lynx,Minnesota Lynx,Chloe Bibby,1631064,Out,Personal Reasons
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185992+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Toronto Tempo,Toronto Tempo,Marina Mabrey,1629497,Available,Injury/Illness - Neck; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.185998+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Toronto Tempo,Toronto Tempo,Brittney Sykes,1628279,Out,Injury/Illness - Left Foot; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186006+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Portland Fire,Portland Fire,Sarah Ashlee Barker,1642782,Out,Injury/Illness - Left Knee; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186014+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Portland Fire,Portland Fire,Bridget Carleton,1629524,Probable,Injury/Illness - Right Foot; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186020+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Portland Fire,Portland Fire,Sania Feagin,1642790,Out,Injury/Illness - Left Knee; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186027+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-06,10:00 (ET),TOR@PDX,Portland Fire,Portland Fire,Teja Oblak,1643506,Doubtful,Injury/Illness - Left Knee; Injury
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186034+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-07,07:30 (ET),ATL@WAS,Atlanta Dream,Atlanta Dream,Te-Hina Paopao,1642804,Out,Injury/Illness - Right Leg; N/A
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186041+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-07,07:30 (ET),PHX@CON,Connecticut Sun,Connecticut Sun,Raegan Beers,1643441,Out,Concussion Protocol
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186048+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-07,07:30 (ET),PHX@CON,Connecticut Sun,Connecticut Sun,Brittney Griner,203398,Questionable,Injury/Illness - Left Knee; -
cap_20260807T030729030532,cycle_20260807,6:45 p.m. ET report,,,"Thu, 06 Aug 2026 22:45:04 GMT",08/06/26 06:45 PM,2026-08-06T18:45:00,2026-08-07T03:07:39.070242+00:00,2026-08-07T03:07:39.186054+00:00,PT15M,15,"wnba.com/api/injury-reports discovery JSON and the ak-static.cms.nba.com PDF CDN carry no documented vendor-latency SLA; poll_interval_at_capture=PT15M is the observed publish grid (confirmed by three consecutive real quarter-hour documents with Last-Modified values exactly 15 minutes apart), not a vendor-stated bound -- treat as UNBOUNDED for anything sharper than the 15-minute grid itself.",https://ak-static.cms.nba.com/referee/wnba_injury/Injury-Report_2026-08-06_06_45PM.pdf,"T0 directly-witnessed capture of the official league quarter-hour injury report (D033 source-hierarchy rank 1); provider_publication_ts is T1 (publisher-asserted, unwitnessed by us); url_slot_ts is the document's own nominal slot identity, not a witnessed instant.",97f0fab7acc0e020ec15acfcffb84c01e11c70c112db9461ceae294808c6c118,,2026-08-07,09:30 (ET),GSV@DAL,Dallas Wings,Dallas Wings,Alysha Clark,202252,Questionable,Injury/Illness - Back; n/a
